"","EOO","AOO","Nbe_unique_occ.","Nbe_subPop","Nbe_loc","Nbe_loc_PA","Category_CriteriaB","Category_code","Ratio_occ_within_PA","Category_AOO","Category_EOO"
"Craterispermum parvifolium",941647,92,27,NA,"18","4","LC or NT","LC or NT B1a+B2a","25.8","LC or NT","LC or NT"
"Craterispermum robbrechtianum",148340,208,62,NA,"38","4","LC or NT","LC or NT B1a+B2a","11.3","LC or NT","LC or NT"
"Craterispermum schweinfurthii",8750447,272,72,NA,"63","15","LC or NT","LC or NT B1a+B2a","19.6","LC or NT","LC or NT"
"Craterocapsa tarsodes",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Craterosiphon beniense",428487,52,13,NA,"13","5","LC or NT","LC or NT B1a+B2a","33.3","LC or NT","LC or NT"
"Craterosiphon devredii",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Craterosiphon louisii",152246,20,6,NA,"5","1","EN","EN B2a","68.8","EN","LC or NT"
"Craterosiphon micranthum",NA,4,2,NA,"2","1","EN","EN B2a","33.33","EN",NA
"Craterosiphon montanum",167860,20,5,NA,"5","0","EN","EN B2a","0","EN","LC or NT"
"Craterosiphon pseudoscandens",356106,20,5,NA,"5","0","EN","EN B2a","0","EN","LC or NT"
"Craterosiphon quarrei",844736,148,37,NA,"35","6","LC or NT","LC or NT B1a+B2a","15.1","LC or NT","LC or NT"
"Craterosiphon scandens",1606911,144,37,NA,"34","13","LC or NT","LC or NT B1a+B2a","38.1","LC or NT","LC or NT"
"Craterosiphon schmitzii",13198,16,4,NA,"4","0","EN","EN B2a","0","EN","VU"
"Craterosiphon soyauxii",765630,32,8,NA,"8","2","VU","VU B2a","25","VU","LC or NT"
"Craterostigma alatum",NA,4,2,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Craterostigma hirsutum",528989,36,9,NA,"9","2","VU","VU B2a","22.2","VU","LC or NT"
"Craterostigma kigomense",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Craterostigma lindernioides",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Craterostigma newtonii",459864,48,12,NA,"12","1","LC or NT","LC or NT B1a+B2a","8.3","LC or NT","LC or NT"
"Craterostigma nummulariifolium",8873357,104,26,NA,"24","5","LC or NT","LC or NT B1a+B2a","24.1","LC or NT","LC or NT"
"Craterostigma plantagineum",5424277,84,21,NA,"21","3","LC or NT","LC or NT B1a+B2a","13.6","LC or NT","LC or NT"
"Craterostigma pumilum",1324465,88,22,NA,"20","3","LC or NT","LC or NT B1a+B2a","13","LC or NT","LC or NT"
"Craterostigma purpureum",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Craterostigma smithii",48746,24,6,NA,"6","0","VU","VU B2a","0","VU","LC or NT"
"Craterostigma yaundense",150,12,3,NA,"2","0","EN","EN B1a+B2a","0","EN","EN"
"Crateva adansonii",9427313,192,48,NA,"44","8","LC or NT","LC or NT B1a+B2a","19.2","LC or NT","LC or NT"
"Cremaspora rupestris",7263,20,6,NA,"5","0","EN","EN B2a","0","EN","VU"
"Cremaspora thomsonii",99878,80,20,NA,"19","2","LC or NT","LC or NT B1a+B2a","8.7","LC or NT","LC or NT"
"Cremaspora triflora",11211019,1724,449,NA,"392","64","LC or NT","LC or NT B1a+B2a","21.1","LC or NT","LC or NT"
"Crepidorhopalon affinis",34058,28,7,NA,"5","2","EN","EN B2a","66.7","EN","LC or NT"
"Crepidorhopalon alatocalycinus",2731,12,3,NA,"3","0","EN","EN B1a+B2a","0","EN","EN"
"Crepidorhopalon bifolius",396551,40,11,NA,"10","3","VU","VU B2a","33.3","VU","LC or NT"
"Crepidorhopalon chironioides",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crepidorhopalon debilis",193128,16,4,NA,"4","1","EN","EN B2a","25","EN","LC or NT"
"Crepidorhopalon goetzei",601648,52,13,NA,"12","4","LC or NT","LC or NT B1a+B2a","26.7","LC or NT","LC or NT"
"Crepidorhopalon gracilis",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crepidorhopalon hartlii",NA,4,2,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Crepidorhopalon hepperi",5902,16,4,NA,"3","0","EN","EN B2a","0","EN","VU"
"Crepidorhopalon insularis",415312,32,10,NA,"7","3","VU","VU B2a","63.6","VU","LC or NT"
"Crepidorhopalon involucratus",91289,12,3,NA,"3","2","EN","EN B2a","66.7","EN","LC or NT"
"Crepidorhopalon latibracteatus",776450,108,28,NA,"26","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Crepidorhopalon laxiflorus",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crepidorhopalon malaissei",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crepidorhopalon manganicolus",44855,12,3,NA,"3","0","EN","EN B2a","0","EN","LC or NT"
"Crepidorhopalon parviflorus",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crepidorhopalon perennis",167,20,7,NA,"3","0","EN","EN B1a+B2a","0","EN","EN"
"Crepidorhopalon rupestris",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Crepidorhopalon scaettae",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Crepidorhopalon schweinfurthii",266654,20,7,NA,"4","1","EN","EN B2a","28.6","EN","LC or NT"
"Crepidorhopalon spicatus",6853555,84,21,NA,"21","2","LC or NT","LC or NT B1a+B2a","9.5","LC or NT","LC or NT"
"Crepidorhopalon symoensii",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Crepidorhopalon tenuifolius",17112,12,3,NA,"3","0","EN","EN B2a","0","EN","VU"
"Crepidorhopalon tenuis",324972,120,31,NA,"25","2","LC or NT","LC or NT B1a+B2a","4","LC or NT","LC or NT"
"Crepidorhopalon whytei",1652821,40,10,NA,"9","1","VU","VU B2a","7.7","VU","LC or NT"
"Crepis achyrophoroides",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crepis carbonaria",503874,140,35,NA,"33","5","LC or NT","LC or NT B1a+B2a","17.9","LC or NT","LC or NT"
"Crepis dianthoseris",35900,12,3,NA,"3","1","EN","EN B2a","33.3","EN","LC or NT"
"Crepis hypochaeridea",1753126,28,7,NA,"6","2","VU","VU B2a","42.9","VU","LC or NT"
"Crepis hypochoeridea",2196229,60,15,NA,"14","1","LC or NT","LC or NT B1a+B2a","56.8","LC or NT","LC or NT"
"Crepis libyca",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crepis newii",2328892,48,13,NA,"9","3","VU","VU B2a","42.9","VU","LC or NT"
"Crepis oliveriana",1634959,20,5,NA,"4","3","EN","EN B2a","83.3","EN","LC or NT"
"Crepis rueppellii",297960,84,21,NA,"20","1","LC or NT","LC or NT B1a+B2a","9.5","LC or NT","LC or NT"
"Crepis schultzii",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crepis urundica",362,12,3,NA,"3","0","EN","EN B1a+B2a","0","EN","EN"
"Crepis vesicaria",NA,8,2,NA,"2","1","EN","EN B2a","50","EN",NA
"Cressa cretica",19424692,32,8,NA,"8","0","VU","VU B2a","0","VU","LC or NT"
"Cribbia brachyceras",4448749,68,18,NA,"16","5","LC or NT","LC or NT B1a+B2a","38.1","LC or NT","LC or NT"
"Cribbia confusa",820134,52,14,NA,"10","3","VU","VU B2a","43.8","VU","LC or NT"
"Cribbia pendula",52,20,6,NA,"3","1","EN","EN B1a+B2a","28.6","EN","EN"
"Cribbia thomensis",24,24,9,NA,"2","1","EN","EN B1a+B2a","66.7","EN","EN"
"Crinipes abyssinicus",65889,16,4,NA,"4","0","EN","EN B2a","0","EN","LC or NT"
"Crinum abyssinicum",62660,20,5,NA,"5","0","EN","EN B2a","0","EN","LC or NT"
"Crinum acaule",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crinum distichum",1078887,36,9,NA,"8","1","VU","VU B2a","22.2","VU","LC or NT"
"Crinum glaucum",136329,32,8,NA,"7","1","VU","VU B2a","25","VU","LC or NT"
"Crinum graminicola",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crinum jagus",3425206,304,77,NA,"73","13","LC or NT","LC or NT B1a+B2a","21.1","LC or NT","LC or NT"
"Crinum kirkii",NA,8,2,NA,"2","1","EN","EN B2a","50","EN",NA
"Crinum lugardiae",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Crinum macowanii",1339840,52,13,NA,"13","2","LC or NT","LC or NT B1a+B2a","15.4","LC or NT","LC or NT"
"Crinum minimum",NA,8,2,NA,"2","1","EN","EN B2a","50","EN",NA
"Crinum natans",2563231,204,51,NA,"49","6","LC or NT","LC or NT B1a+B2a","11.8","LC or NT","LC or NT"
"Crinum nubicum",537764,44,11,NA,"10","2","VU","VU B2a","21.4","VU","LC or NT"
"Crinum ornatum",7929848,268,67,NA,"65","5","LC or NT","LC or NT B1a+B2a","14.3","LC or NT","LC or NT"
"Crinum papillosum",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crinum pauciflorum",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Crinum politifolium",26388,28,7,NA,"7","2","VU","VU B2a","28.6","VU","LC or NT"
"Crinum purpurascens",735882,72,18,NA,"17","4","LC or NT","LC or NT B1a+B2a","26.3","LC or NT","LC or NT"
"Crinum rautanenianum",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crinum sanderianum",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crinum scillifolium",NA,8,2,NA,"2","1","EN","EN B2a","50","EN",NA
"Crinum stuhlmannii",2182582,84,21,NA,"20","1","LC or NT","LC or NT B1a+B2a","4.8","LC or NT","LC or NT"
"Crioceras dipladeniiflorus",173472,80,20,NA,"18","1","LC or NT","LC or NT B1a+B2a","3.2","LC or NT","LC or NT"
"Crocosmia aurea",4567289,164,43,NA,"36","13","LC or NT","LC or NT B1a+B2a","41.9","LC or NT","LC or NT"
"Crossandra arenicola",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crossandra baccafinii",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crossandra cephalostachya",12249,20,6,NA,"4","4","LC or NT","EN B2a","100","EN","VU"
"Crossandra flava",1087156,100,25,NA,"23","8","LC or NT","LC or NT B1a+B2a","33.3","LC or NT","LC or NT"
"Crossandra friesiorum",2683,12,3,NA,"3","1","EN","EN B1a+B2a","33.3","EN","EN"
"Crossandra fruticulosa",3966,12,3,NA,"3","0","EN","EN B1a+B2a","0","EN","EN"
"Crossandra greenstockii",235182,24,6,NA,"6","0","VU","VU B2a","0","VU","LC or NT"
"Crossandra horrida",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crossandra infundibuliformis",507562,44,11,NA,"9","0","VU","VU B2a","0","VU","LC or NT"
"Crossandra leucodonta",NA,8,2,NA,"2","1","EN","EN B2a","50","EN",NA
"Crossandra massaica",6396039,236,60,NA,"52","6","LC or NT","LC or NT B1a+B2a","19.1","LC or NT","LC or NT"
"Crossandra mucronata",362621,48,12,NA,"12","2","LC or NT","LC or NT B1a+B2a","16.7","LC or NT","LC or NT"
"Crossandra nilotica",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crossandra obanensis",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crossandra puberula",149131,16,4,NA,"4","0","EN","EN B2a","0","EN","LC or NT"
"Crossandra pungens",40261,60,16,NA,"15","3","LC or NT","LC or NT B1a+B2a","21.1","LC or NT","LC or NT"
"Crossandra pyrophila",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crossandra spinosa",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Crossandra stenostachya",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Crossandra subacaulis",298046,32,8,NA,"6","4","VU","VU B2a","50","VU","LC or NT"
"Crossandra tridentata",69334,92,27,NA,"17","7","LC or NT","LC or NT B1a+B2a","53.3","LC or NT","LC or NT"
"Crossandrella adamii",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Crossandrella cristalensis",NA,8,2,NA,"2","1","EN","EN B2a","50","EN",NA
"Crossandrella dusenii",1704017,136,35,NA,"32","7","LC or NT","LC or NT B1a+B2a","25.6","LC or NT","LC or NT"
"Crossopteryx febrifuga",14399851,1328,342,NA,"293","45","LC or NT","LC or NT B1a+B2a","22.3","LC or NT","LC or NT"
"Crossostemma laurifolium",301732,268,69,NA,"57","17","LC or NT","LC or NT B1a+B2a","41.4","LC or NT","LC or NT"
"Crotalaria abbreviata",145312,28,7,NA,"7","1","VU","VU B2a","11.1","VU","LC or NT"
"Crotalaria abscondita",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Crotalaria aculeata",2216791,160,41,NA,"39","6","LC or NT","LC or NT B1a+B2a","22.2","LC or NT","LC or NT"
"Crotalaria adamii",NA,8,2,NA,"2","1","EN","EN B2a","50","EN",NA
"Crotalaria adamsonii",NA,8,2,NA,"2","1","EN","EN B2a","50","EN",NA
"Crotalaria adenocarpoides",79789,60,16,NA,"11","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Crotalaria adolfii",20712,16,4,NA,"4","1","EN","EN B2a","25","EN","LC or NT"
"Crotalaria afrocentralis",15356,12,3,NA,"3","0","EN","EN B2a","0","EN","VU"
"Crotalaria agatiflora",1542375,372,97,NA,"78","16","LC or NT","LC or NT B1a+B2a","30.4","LC or NT","LC or NT"
"Crotalaria albicaulis",34668,36,9,NA,"7","0","VU","VU B2a","0","VU","LC or NT"
"Crotalaria alexandri",1630027,68,17,NA,"17","4","LC or NT","LC or NT B1a+B2a","23.5","LC or NT","LC or NT"
"Crotalaria allophylla",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crotalaria alticola",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crotalaria amoena",1003757,28,7,NA,"6","1","VU","VU B2a","28.6","VU","LC or NT"
"Crotalaria andromedifolia",5077,72,18,NA,"15","1","LC or NT","LC or NT B1a+B2a","3.8","LC or NT","LC or NT"
"Crotalaria annua",12,12,4,NA,"2","0","EN","EN B1a+B2a","0","EN","EN"
"Crotalaria anthyllopsis",2643417,52,13,NA,"13","4","LC or NT","LC or NT B1a+B2a","30.8","LC or NT","LC or NT"
"Crotalaria antunesii",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crotalaria arcuata",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crotalaria arenaria",509063,20,5,NA,"5","0","EN","EN B2a","0","EN","LC or NT"
"Crotalaria argenteotomentosa",64033,40,11,NA,"7","0","VU","VU B2a","0","VU","LC or NT"
"Crotalaria argyraea",15856,12,3,NA,"3","0","EN","EN B2a","0","EN","VU"
"Crotalaria argyrolobioides",224978,32,8,NA,"8","3","VU","VU B2a","37.5","VU","LC or NT"
"Crotalaria arrecta",NA,4,2,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Crotalaria arushae",439,12,3,NA,"3","1","EN","EN B1a+B2a","33.3","EN","EN"
"Crotalaria assurgens",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crotalaria atrorubens",2972413,96,24,NA,"24","2","LC or NT","LC or NT B1a+B2a","11.5","LC or NT","LC or NT"
"Crotalaria aurea",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crotalaria axillaris",7144531,300,78,NA,"68","16","LC or NT","LC or NT B1a+B2a","23.5","LC or NT","LC or NT"
"Crotalaria axilliflora",135462,32,8,NA,"8","0","VU","VU B2a","0","VU","LC or NT"
"Crotalaria axillifloroides",135164,64,16,NA,"16","1","LC or NT","LC or NT B1a+B2a","10","LC or NT","LC or NT"
"Crotalaria balbii",198511,56,14,NA,"14","1","LC or NT","LC or NT B1a+B2a","7.1","LC or NT","LC or NT"
"Crotalaria ballyi",23314,12,3,NA,"3","0","EN","EN B2a","0","EN","LC or NT"
"Crotalaria bamendae",664,12,3,NA,"3","0","EN","EN B1a+B2a","0","EN","EN"
"Crotalaria barkae",6751830,292,77,NA,"67","7","LC or NT","LC or NT B1a+B2a","14.6","LC or NT","LC or NT"
"Crotalaria barnabassii",219731,12,3,NA,"3","0","EN","EN B2a","0","EN","LC or NT"
"Crotalaria basipeta",33735,28,7,NA,"6","1","VU","VU B2a","22.2","VU","LC or NT"
"Crotalaria baumii",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crotalaria becquetii",579730,108,27,NA,"27","10","LC or NT","LC or NT B1a+B2a","39.4","LC or NT","LC or NT"
"Crotalaria bemba",139373,64,16,NA,"16","4","LC or NT","LC or NT B1a+B2a","40.9","LC or NT","LC or NT"
"Crotalaria benguellensis",11573,16,4,NA,"4","0","EN","EN B2a","0","EN","VU"
"Crotalaria bequaertii",852902,108,27,NA,"24","2","LC or NT","LC or NT B1a+B2a","7.1","LC or NT","LC or NT"
"Crotalaria boehmii",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crotalaria bogdaniana",606868,72,18,NA,"18","3","LC or NT","LC or NT B1a+B2a","15","LC or NT","LC or NT"
"Crotalaria bondii",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crotalaria bongensis",5991818,84,21,NA,"21","4","LC or NT","LC or NT B1a+B2a","18.2","LC or NT","LC or NT"
"Crotalaria boranica",210246,24,6,NA,"5","0","EN","EN B2a","0","EN","LC or NT"
"Crotalaria boutiqueana",NA,8,2,NA,"1","1","LC or NT","LC or NT B2a","100","LC or NT",NA
"Crotalaria bredoi",NA,4,2,NA,"2","1","EN","EN B2a","50","EN",NA
"Crotalaria brevidens",3423899,260,68,NA,"61","10","LC or NT","LC or NT B1a+B2a","15.4","LC or NT","LC or NT"
"Crotalaria burkeana",46578,16,4,NA,"4","0","EN","EN B2a","0","EN","LC or NT"
"Crotalaria burttii",123051,40,10,NA,"9","4","VU","VU B2a","40","VU","LC or NT"
"Crotalaria cabui",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crotalaria callensii",267933,24,6,NA,"6","0","VU","VU B2a","0","VU","LC or NT"
"Crotalaria calliantha",740,12,3,NA,"3","1","EN","EN B1a+B2a","50","EN","EN"
"Crotalaria calycina",9667419,156,39,NA,"38","10","LC or NT","LC or NT B1a+B2a","38.3","LC or NT","LC or NT"
"Crotalaria capensis",851985,24,6,NA,"6","0","VU","VU B2a","0","VU","LC or NT"
"Crotalaria capillipes",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crotalaria carsonii",NA,8,2,NA,"2","1","EN","EN B2a","50","EN",NA
"Crotalaria carsonioides",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Crotalaria caudata",3688109,96,24,NA,"22","2","LC or NT","LC or NT B1a+B2a","12","LC or NT","LC or NT"
"Crotalaria cephalotes",13237197,344,86,NA,"81","15","LC or NT","LC or NT B1a+B2a","20.2","LC or NT","LC or NT"
"Crotalaria chamaepeuce",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Crotalaria chirindae",94127,16,4,NA,"4","1","EN","EN B2a","25","EN","LC or NT"
"Crotalaria chrysochlora",3056893,164,43,NA,"39","8","LC or NT","LC or NT B1a+B2a","20.4","LC or NT","LC or NT"
"Crotalaria chrysotricha",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crotalaria cistoides",343601,64,17,NA,"14","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Crotalaria cleomifolia",11801264,280,71,NA,"62","9","LC or NT","LC or NT B1a+B2a","19.5","LC or NT","LC or NT"
"Crotalaria cobalticola",3422,60,16,NA,"11","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Crotalaria collina",36401,44,11,NA,"11","1","LC or NT","LC or NT B1a+B2a","7.1","LC or NT","LC or NT"
"Crotalaria colorata",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Crotalaria comanestiana",846511,76,19,NA,"19","1","LC or NT","LC or NT B1a+B2a","4.8","LC or NT","LC or NT"
"Crotalaria comosa",12589735,188,47,NA,"47","4","LC or NT","LC or NT B1a+B2a","9.6","LC or NT","LC or NT"
"Crotalaria confusa",726878,52,13,NA,"13","2","LC or NT","LC or NT B1a+B2a","15.4","LC or NT","LC or NT"
"Crotalaria congesta",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Crotalaria congoensis",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crotalaria cordata",112005,44,11,NA,"11","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Crotalaria cornetii",167229,108,35,NA,"21","1","LC or NT","LC or NT B1a+B2a","4.2","LC or NT","LC or NT"
"Crotalaria cupricola",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Crotalaria cuspidata",3393188,40,10,NA,"9","1","VU","VU B2a","9.1","VU","LC or NT"
"Crotalaria cyanea",57,16,5,NA,"2","0","EN","EN B1a+B2a","0","EN","EN"
"Crotalaria cylindrica",452434,76,19,NA,"19","5","LC or NT","LC or NT B1a+B2a","31.8","LC or NT","LC or NT"
"Crotalaria cylindrocarpa",4903271,144,36,NA,"34","2","LC or NT","LC or NT B1a+B2a","5.6","LC or NT","LC or NT"
"Crotalaria cylindrostachys",21023,16,4,NA,"4","0","EN","EN B2a","0","EN","LC or NT"
"Crotalaria damarensis",416665,24,6,NA,"6","0","VU","VU B2a","0","VU","LC or NT"
"Crotalaria dasyclada",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Crotalaria dedzana",4389,28,7,NA,"3","1","EN","EN B1a+B2a","40","EN","EN"
"Crotalaria deflersii",366813,56,14,NA,"14","2","LC or NT","LC or NT B1a+B2a","11.8","LC or NT","LC or NT"
"Crotalaria deightonii",186031,28,7,NA,"7","0","VU","VU B2a","0","VU","LC or NT"
"Crotalaria densicephala",21818,24,6,NA,"6","0","VU","VU B2a","0","VU","LC or NT"
"Crotalaria depressa",5779,12,3,NA,"3","1","EN","EN B2a","50","EN","VU"
"Crotalaria desaegeri",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crotalaria descampsii",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crotalaria deserticola",1539229,348,87,NA,"79","13","LC or NT","LC or NT B1a+B2a","19.8","LC or NT","LC or NT"
"Crotalaria dewildemaniana",1539912,144,38,NA,"31","5","LC or NT","LC or NT B1a+B2a","17.1","LC or NT","LC or NT"
"Crotalaria dilatata",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crotalaria diminuta",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crotalaria dinteri",1833,12,3,NA,"3","0","EN","EN B1a+B2a","0","EN","EN"
"Crotalaria distans",362760,32,8,NA,"7","0","VU","VU B2a","0","VU","LC or NT"
"Crotalaria distantiflora",320112,92,23,NA,"22","4","LC or NT","LC or NT B1a+B2a","22.6","LC or NT","LC or NT"
"Crotalaria dolichonyx",1356,16,4,NA,"4","0","EN","EN B1a+B2a","0","EN","EN"
"Crotalaria doniana",932335,64,16,NA,"16","4","LC or NT","LC or NT B1a+B2a","21.1","LC or NT","LC or NT"
"Crotalaria duboisii",8380,16,4,NA,"4","0","EN","EN B2a","0","EN","VU"
"Crotalaria dumosa",458871,48,13,NA,"12","1","LC or NT","LC or NT B1a+B2a","7.7","LC or NT","LC or NT"
"Crotalaria dura",9639,24,6,NA,"6","0","VU","VU B1a+B2a","0","VU","VU"
"Crotalaria durandiana",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crotalaria duvigneaudii",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Crotalaria ebenoides",196590,20,5,NA,"5","0","EN","EN B2a","0","EN","LC or NT"
"Crotalaria elisabethae",139236,84,22,NA,"19","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Crotalaria emarginata",301230,120,31,NA,"27","4","LC or NT","LC or NT B1a+B2a","20.6","LC or NT","LC or NT"
"Crotalaria emarginella",600945,56,14,NA,"14","1","LC or NT","LC or NT B1a+B2a","6.7","LC or NT","LC or NT"
"Crotalaria ephemera",171112,28,7,NA,"7","0","VU","VU B2a","0","VU","LC or NT"
"Crotalaria eremicola",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crotalaria ericoides",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crotalaria erythrophleba",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crotalaria exaltata",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crotalaria exelliana",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Crotalaria exilipes",14225,12,3,NA,"3","0","EN","EN B2a","0","EN","VU"
"Crotalaria exilis",NA,4,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Crotalaria fascicularis",132669,60,16,NA,"13","3","LC or NT","LC or NT B1a+B2a","21.1","LC or NT","LC or NT"
"Crotalaria filicaulis",787661,52,13,NA,"13","3","LC or NT","LC or NT B1a+B2a","18.8","LC or NT","LC or NT"
"Crotalaria flavicarinata",NA,8,2,NA,"2","2","LC or NT","LC or NT B2a","100","LC or NT",NA
"Crotalaria florida",1220893,144,36,NA,"34","4","LC or NT","LC or NT B1a+B2a","12","LC or NT","LC or NT"
"Crotalaria friesii",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Crotalaria gazensis",1136,12,3,NA,"3","0","EN","EN B1a+B2a","0","EN","EN"
"Crotalaria germainii",142,16,4,NA,"3","0","EN","EN B1a+B2a","0","EN","EN"
"Crotalaria gillettii",33419,28,7,NA,"6","0","VU","VU B2a","0","VU","LC or NT"
"Crotalaria glabripedicellata",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crotalaria glauca",11843389,644,163,NA,"149","13","LC or NT","LC or NT B1a+B2a","12.1","LC or NT","LC or NT"
"Crotalaria glaucifolia",75234,56,14,NA,"12","1","LC or NT","LC or NT B1a+B2a","8","LC or NT","LC or NT"
"Crotalaria glaucoides",87529,16,4,NA,"4","1","EN","EN B2a","25","EN","LC or NT"
"Crotalaria globifera",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Crotalaria gnidioides",29574,32,8,NA,"5","1","EN","EN B2a","50","EN","LC or NT"
"Crotalaria goetzei",197214,40,11,NA,"7","2","VU","VU B2a","18.2","VU","LC or NT"
"Crotalaria goodiiformis",1763882,216,54,NA,"52","10","LC or NT","LC or NT B1a+B2a","26.2","LC or NT","LC or NT"
"Crotalaria goreensis",12289349,412,104,NA,"97","15","LC or NT","LC or NT B1a+B2a","19.1","LC or NT","LC or NT"
